wafer_id,target,status,calibrated_failure_probability,uncertainty_adjusted_decision,prediction_confidence,combined_uncertainty,data_familiarity_band,evidence_agreement,recommended_action,priority_1_sensor,top_5_sensors
WF-001237,0,Pass,0.0634823912269744,Engineering Review,0.3783662191982195,0.6216337808017804,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_065, sensor_060, sensor_424, sensor_511"
WF-000297,0,Pass,0.0629760541589986,Engineering Review,0.3174293547995154,0.6825706452004846,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_342,"sensor_342, sensor_206, sensor_104, sensor_001, sensor_181"
WF-000536,0,Pass,0.0625372168080231,Engineering Review,0.4111796620541439,0.5888203379458561,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_206, sensor_342, sensor_104, sensor_432"
WF-000002,0,Pass,0.0622417162205708,Engineering Review,0.2844558465860414,0.7155441534139586,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_034, sensor_060, sensor_432"
WF-000577,1,Fail,0.0618579242797185,Engineering Review,0.3073449008036745,0.6926550991963254,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_282, sensor_034, sensor_317, sensor_478"
WF-000799,0,Pass,0.0611085369595678,Engineering Review,0.2868980699667159,0.713101930033284,Unusual,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_432, sensor_015, sensor_104, sensor_064"
WF-001250,0,Pass,0.0608561260742196,Engineering Review,0.294246979903959,0.7057530200960409,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_015,"sensor_015, sensor_317, sensor_104, sensor_478, sensor_060"
WF-000707,0,Pass,0.0603287179363219,Engineering Review,0.3132411319876762,0.6867588680123238,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_104, sensor_511, sensor_206, sensor_342"
WF-000049,1,Fail,0.0599791033825022,Engineering Review,0.1845980495371205,0.8154019504628794,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_478, sensor_034, sensor_206, sensor_511"
WF-001035,0,Pass,0.0598173219059501,Engineering Review,0.4027124627053428,0.5972875372946571,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_153,"sensor_153, sensor_104, sensor_214, sensor_288, sensor_060"
WF-000451,0,Pass,0.059693106965671,Engineering Review,0.2890750365647134,0.7109249634352865,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_060, sensor_065, sensor_104, sensor_032"
WF-000583,0,Pass,0.0595071627983477,Engineering Review,0.3037015086198507,0.6962984913801493,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_206, sensor_103, sensor_015, sensor_060"
WF-001220,0,Pass,0.0594824044989312,Engineering Review,0.3001841209628049,0.6998158790371951,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_153,"sensor_153, sensor_104, sensor_520, sensor_060, sensor_206"
WF-001553,0,Pass,0.0589889272315011,Engineering Review,0.3031095555369578,0.6968904444630422,Outside Typical Historical Experience,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_153, sensor_034, sensor_432, sensor_104"
WF-000525,0,Pass,0.0587311360002732,Engineering Review,0.3244888532604352,0.6755111467395648,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_317,"sensor_317, sensor_578, sensor_104, sensor_060, sensor_103"
WF-000755,0,Pass,0.0584131867245204,Engineering Review,0.3475692382613476,0.6524307617386524,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_206, sensor_034, sensor_511, sensor_342"
WF-000259,0,Pass,0.0581452047197266,Engineering Review,0.3590468208178575,0.6409531791821425,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_065,"sensor_065, sensor_060, sensor_153, sensor_104, sensor_034"
WF-001028,0,Pass,0.0579024191975105,Engineering Review,0.4635812672426784,0.5364187327573215,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_034, sensor_424, sensor_060, sensor_317"
WF-001053,0,Pass,0.0571068407006044,Engineering Review,0.3260177654300574,0.6739822345699427,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_478, sensor_060, sensor_578, sensor_511"
WF-000462,0,Pass,0.056605026107768,Engineering Review,0.3211440148833948,0.6788559851166052,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_424, sensor_015, sensor_104, sensor_206"
WF-000477,0,Pass,0.0565693144170977,Engineering Review,0.3368026790197262,0.6631973209802737,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_065, sensor_478, sensor_034"
WF-000393,1,Fail,0.0563079658235813,Engineering Review,0.3527807822099051,0.6472192177900948,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_214, sensor_104, sensor_478, sensor_206"
WF-000835,0,Pass,0.0559059183912735,Engineering Review,0.2937994150776452,0.7062005849223547,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_015, sensor_060, sensor_104, sensor_478"
WF-000588,0,Pass,0.0546552507674919,Engineering Review,0.393641968542234,0.6063580314577659,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_103, sensor_104, sensor_032, sensor_034"
WF-001117,0,Pass,0.0539520871203171,Engineering Review,0.3499027239361751,0.6500972760638248,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_511, sensor_432, sensor_478"
WF-000848,0,Pass,0.053929152626906,Engineering Review,0.4060023660737878,0.5939976339262121,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_104, sensor_342, sensor_478, sensor_060"
WF-000265,0,Pass,0.0538031487423166,Engineering Review,0.3830270519966526,0.6169729480033473,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_511, sensor_034, sensor_153, sensor_104"
WF-000314,0,Pass,0.0537917052352994,Engineering Review,0.3075440111153306,0.6924559888846694,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_317,"sensor_317, sensor_104, sensor_060, sensor_574, sensor_310"
WF-001269,0,Pass,0.0532446440524183,Engineering Review,0.3577731612084175,0.6422268387915825,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_034, sensor_342, sensor_432, sensor_478"
WF-000460,0,Pass,0.0527357214831558,Engineering Review,0.4568567771864262,0.5431432228135737,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_478, sensor_206, sensor_426"
WF-000445,0,Pass,0.0527244553091201,Engineering Review,0.2088607534148435,0.7911392465851564,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_317, sensor_015, sensor_520, sensor_469"
WF-000751,0,Pass,0.0524321923124244,Engineering Review,0.2980733616722296,0.7019266383277705,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_424, sensor_060, sensor_034, sensor_317"
WF-000232,1,Fail,0.0524209766877405,Engineering Review,0.2943467490014412,0.7056532509985587,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_153,"sensor_153, sensor_034, sensor_206, sensor_104, sensor_060"
WF-000787,0,Pass,0.0522865348979022,Engineering Review,0.3890067764787293,0.6109932235212707,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_424, sensor_015, sensor_034, sensor_060"
WF-000501,0,Pass,0.0522753435504643,Engineering Review,0.4050037501500408,0.5949962498499592,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_060, sensor_386, sensor_034, sensor_104"
WF-001240,0,Pass,0.0517514508083244,Engineering Review,0.3962679002211795,0.6037320997788205,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_060, sensor_206, sensor_342, sensor_511"
WF-000894,0,Pass,0.0517292485570852,Engineering Review,0.3664595040198268,0.6335404959801731,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_153, sensor_206, sensor_060, sensor_511"
WF-000370,0,Pass,0.0516183485221198,Engineering Review,0.3919885941020909,0.608011405897909,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_511,"sensor_511, sensor_104, sensor_282, sensor_034, sensor_317"
WF-001206,0,Pass,0.0514523456403994,Engineering Review,0.307464841534433,0.692535158465567,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_214, sensor_060, sensor_103, sensor_511"
WF-001334,0,Pass,0.0512647117781761,Engineering Review,0.3387244857455229,0.6612755142544771,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_206, sensor_034, sensor_060, sensor_104"
WF-000284,0,Pass,0.0511986153901467,Engineering Review,0.3575143690842669,0.6424856309157331,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_153, sensor_104, sensor_282, sensor_432"
WF-001037,0,Pass,0.0509239273914036,Engineering Review,0.3533377038643072,0.6466622961356927,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_206, sensor_104, sensor_342, sensor_060"
WF-001399,0,Pass,0.0508143739127773,Engineering Review,0.3396815587581951,0.6603184412418048,Unusual,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_065,"sensor_065, sensor_060, sensor_104, sensor_317, sensor_432"
WF-001096,0,Pass,0.0499985555243499,Engineering Review,0.3611703519075483,0.6388296480924517,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_282,"sensor_282, sensor_060, sensor_317, sensor_104, sensor_126"
WF-001383,0,Pass,0.0497181298183147,Engineering Review,0.4206112565537563,0.5793887434462437,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_432, sensor_317, sensor_060"
WF-001246,0,Pass,0.0496106000647048,Engineering Review,0.3163996863058949,0.6836003136941051,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_015, sensor_317, sensor_511, sensor_282"
WF-001214,0,Pass,0.0495783764278274,Engineering Review,0.4197634341444201,0.5802365658555799,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_034, sensor_060, sensor_478"
WF-001376,0,Pass,0.049449644580472,Engineering Review,0.4499977177780502,0.5500022822219498,Very Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_489, sensor_478, sensor_548"
WF-000497,0,Pass,0.0493746711077056,Engineering Review,0.3458840093336802,0.6541159906663199,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_432,"sensor_432, sensor_104, sensor_032, sensor_060, sensor_478"
WF-000400,0,Pass,0.049321172754477,Engineering Review,0.300327356990125,0.699672643009875,Unusual,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_034, sensor_032, sensor_282"
WF-001232,0,Pass,0.0492570342250401,Engineering Review,0.3077556319867723,0.6922443680132278,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_206, sensor_126, sensor_317, sensor_034"
WF-001316,0,Pass,0.0484713095501457,Engineering Review,0.4378494232213429,0.5621505767786571,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_082,"sensor_082, sensor_104, sensor_060, sensor_406, sensor_478"
WF-001337,0,Pass,0.0483448180224866,Engineering Review,0.3994685001340948,0.6005314998659053,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_478, sensor_104, sensor_060, sensor_206"
WF-000391,0,Pass,0.0481135830090228,Engineering Review,0.4289315999905884,0.5710684000094116,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_317, sensor_032, sensor_060, sensor_034"
WF-000767,0,Pass,0.0480821176462884,Engineering Review,0.3954630917997014,0.6045369082002986,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_511,"sensor_511, sensor_060, sensor_015, sensor_104, sensor_424"
WF-001386,0,Pass,0.0478623073461422,Engineering Review,0.2965262788358642,0.7034737211641358,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_478, sensor_512, sensor_015"
WF-000699,0,Pass,0.047695357261218,Engineering Review,0.2614421896775487,0.7385578103224513,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_104, sensor_282, sensor_015, sensor_181"
WF-001091,0,Pass,0.0476745203383376,Engineering Review,0.4326704015691052,0.5673295984308948,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_511, sensor_478, sensor_130"
WF-000878,0,Pass,0.0476016467646206,Engineering Review,0.4280493425309995,0.5719506574690005,Very Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_206,"sensor_206, sensor_478, sensor_342, sensor_104, sensor_060"
WF-000954,0,Pass,0.0475600435719507,Engineering Review,0.3494254607649666,0.6505745392350334,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_126, sensor_288, sensor_130"
WF-001167,0,Pass,0.0475184686152613,Engineering Review,0.4311559612350711,0.5688440387649288,Very Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_060, sensor_424, sensor_064"
WF-001368,0,Pass,0.0473835448352099,Engineering Review,0.3658752771980759,0.634124722801924,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_511, sensor_104, sensor_206, sensor_001"
WF-000708,0,Pass,0.0473835448352099,Engineering Review,0.4056680014932704,0.5943319985067296,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_342,"sensor_342, sensor_478, sensor_206, sensor_104, sensor_032"
WF-001238,0,Pass,0.0471455622287035,Engineering Review,0.3243291841309585,0.6756708158690414,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_181, sensor_214, sensor_206"
WF-000570,0,Pass,0.0470217662582769,Engineering Review,0.31371651860435,0.68628348139565,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_015,"sensor_015, sensor_478, sensor_104, sensor_032, sensor_206"
WF-000628,0,Pass,0.0463148261190744,Engineering Review,0.3493846219653509,0.6506153780346491,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_511,"sensor_511, sensor_153, sensor_060, sensor_426, sensor_589"
WF-001260,0,Pass,0.045878457633465,Engineering Review,0.2919330066343707,0.7080669933656293,Unusual,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_104, sensor_125, sensor_478, sensor_060"
WF-001275,0,Pass,0.0451050242569556,Engineering Review,0.3071337688357471,0.6928662311642528,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_034, sensor_206, sensor_104, sensor_342"
WF-000679,0,Pass,0.0450651238955002,Engineering Review,0.3297198275954265,0.6702801724045735,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_206, sensor_104, sensor_060, sensor_282"
WF-001163,0,Pass,0.044955538910332,Engineering Review,0.3894017945020204,0.6105982054979795,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_424, sensor_060, sensor_511, sensor_478"
WF-001157,0,Pass,0.0445785602112406,Engineering Review,0.3732563073354618,0.6267436926645382,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_206, sensor_317, sensor_214, sensor_181"
WF-001395,0,Pass,0.0441058815076441,Engineering Review,0.419527199767479,0.580472800232521,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_065, sensor_104, sensor_478, sensor_317"
WF-000913,0,Pass,0.0440960754815834,Engineering Review,0.324533311277672,0.675466688722328,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_478, sensor_206, sensor_214"
WF-001135,0,Pass,0.0434719913235208,Engineering Review,0.3151715767917133,0.6848284232082866,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_478, sensor_060, sensor_126, sensor_434"
WF-001139,0,Pass,0.0434429060618953,Engineering Review,0.3902777776441106,0.6097222223558894,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_432, sensor_478, sensor_126"
WF-000367,0,Pass,0.0433363889036841,Engineering Review,0.3931030129803837,0.6068969870196163,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_432, sensor_478, sensor_206"
WF-000793,0,Pass,0.0426441651253826,Engineering Review,0.3763474133504663,0.6236525866495337,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_206,"sensor_206, sensor_153, sensor_424, sensor_104, sensor_060"
WF-001296,0,Pass,0.0423677814160584,Engineering Review,0.4164477548165061,0.5835522451834938,Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_478, sensor_511, sensor_317"
WF-000716,0,Pass,0.0420833264764579,Engineering Review,0.3159907752988998,0.6840092247011003,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_060, sensor_512, sensor_511"
WF-000766,0,Pass,0.042064415436513,Engineering Review,0.4095986056506893,0.5904013943493107,Unusual,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_032, sensor_317, sensor_015, sensor_060"
WF-001378,0,Pass,0.0420455109646044,Engineering Review,0.4464688315967339,0.5535311684032661,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_206, sensor_104, sensor_424, sensor_511"
WF-001107,0,Pass,0.0419699587227745,Engineering Review,0.3006197825364797,0.6993802174635203,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_424, sensor_104, sensor_015, sensor_060"
WF-001033,0,Pass,0.0418474101202156,Engineering Review,0.3995828351631742,0.6004171648368257,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_478, sensor_060, sensor_206, sensor_432"
WF-000550,0,Pass,0.0414907756863708,Engineering Review,0.4090702180192634,0.5909297819807365,Very Familiar,Review with Supporting Historical Risk,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_478, sensor_206, sensor_342"
WF-001050,0,Pass,0.041453372249273,Engineering Review,0.4163713865103184,0.5836286134896815,Very Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_342, sensor_060, sensor_432, sensor_214"
WF-001038,0,Pass,0.0409972899372134,Engineering Review,0.2909068411500524,0.7090931588499476,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_214, sensor_082, sensor_352"
WF-001104,0,Pass,0.0399966311958555,Engineering Review,0.3232012705564249,0.6767987294435751,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_478, sensor_060, sensor_206, sensor_130"
WF-000777,0,Pass,0.039724556364075,Engineering Review,0.3745308132366495,0.6254691867633504,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_424,"sensor_424, sensor_064, sensor_104, sensor_060, sensor_563"
WF-000714,0,Pass,0.0395619978434222,Engineering Review,0.3306101769123682,0.6693898230876318,Outside Typical Historical Experience,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_060, sensor_489, sensor_478, sensor_206"
WF-000667,0,Pass,0.0395349546921264,Engineering Review,0.3572446262853,0.6427553737147,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_511, sensor_015, sensor_032, sensor_520"
WF-000706,0,Pass,0.0393909651156156,Engineering Review,0.3370818544214279,0.662918145578572,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_032,"sensor_032, sensor_104, sensor_478, sensor_472, sensor_022"
WF-000869,0,Pass,0.039247380070933,Engineering Review,0.3751624804549761,0.6248375195450239,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_104,"sensor_104, sensor_153, sensor_478, sensor_206, sensor_060"
WF-000612,0,Pass,0.0391131357234496,Engineering Review,0.3010219408382711,0.6989780591617288,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_520, sensor_342, sensor_153, sensor_104"
WF-000534,0,Pass,0.038943601096623,Engineering Review,0.3686208205536819,0.6313791794463182,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_478,"sensor_478, sensor_206, sensor_104, sensor_342, sensor_060"
WF-000546,0,Pass,0.0387746331375065,Engineering Review,0.3485351562965452,0.6514648437034548,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_317,"sensor_317, sensor_104, sensor_034, sensor_032, sensor_060"
WF-001523,0,Pass,0.0384031286879328,Engineering Review,0.3368290856426926,0.6631709143573075,Familiar,Mixed or Intermediate Evidence,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_060,"sensor_060, sensor_104, sensor_578, sensor_065, sensor_478"
WF-001391,0,Pass,0.0382096282185509,Engineering Review,0.377341960226815,0.622658039773185,Unusual,Review Driven by Reliability Concern,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,sensor_034,"sensor_034, sensor_104, sensor_126, sensor_478, sensor_206"
